4109102018 Sevilla sección 02018	Renta media por persona 	2017	9.732
4109102018 Sevilla sección 02018	Renta media por hogar	2017	24.924
4109102019 Sevilla sección 02019	Renta media por persona 	2017	11.342
4109102019 Sevilla sección 02019	Renta media por hogar	2017	30.114
4109102020 Sevilla sección 02020	Renta media por persona 	2017	14.900
4109102020 Sevilla sección 02020	Renta media por hogar	2017	37.885
4109102021 Sevilla sección 02021	Renta media por persona 	2017	10.069
4109102021 Sevilla sección 02021	Renta media por hogar	2017	21.550
4109102022 Sevilla sección 02022	Renta media por persona 	2017	8.854
4109102022 Sevilla sección 02022	Renta media por hogar	2017	20.244
4109102023 Sevilla sección 02023	Renta media por persona 	2017	6.133
4109102023 Sevilla sección 02023	Renta media por hogar	2017	15.824
4109102024 Sevilla sección 02024	Renta media por persona 	2017	11.312
4109102024 Sevilla sección 02024	Renta media por hogar	2017	26.246
4109102025 Sevilla sección 02025	Renta media por persona 	2017	8.816
4109102025 Sevilla sección 02025	Renta media por hogar	2017	19.942
4109102026 Sevilla sección 02026	Renta media por persona 	2017	7.667
4109102026 Sevilla sección 02026	Renta media por hogar	2017	18.429
4109102027 Sevilla sección 02027	Renta media por persona 	2017	7.911
4109102027 Sevilla sección 02027	Renta media por hogar	2017	23.092
4109102028 Sevilla sección 02028	Renta media por persona 	2017	7.797
4109102028 Sevilla sección 02028	Renta media por hogar	2017	19.390
4109102029 Sevilla sección 02029	Renta media por persona 	2017	7.861
4109102029 Sevilla sección 02029	Renta media por hogar	2017	18.605
4109102030 Sevilla sección 02030	Renta media por persona 	2017	8.897
4109102030 Sevilla sección 02030	Renta media por hogar	2017	21.181
4109102031 Sevilla sección 02031	Renta media por persona 	2017	6.177
4109102031 Sevilla sección 02031	Renta media por hogar	2017	15.579
4109102032 Sevilla sección 02032	Renta media por persona 	2017	12.809
4109102032 Sevilla sección 02032	Renta media por hogar	2017	30.560
4109102033 Sevilla sección 02033	Renta media por persona 	2017	10.042
4109102033 Sevilla sección 02033	Renta media por hogar	2017	25.744
4109102036 Sevilla sección 02036	Renta media por persona 	2017	9.215
4109102036 Sevilla sección 02036	Renta media por hogar	2017	18.455
4109102038 Sevilla sección 02038	Renta media por persona 	2017	10.586
4109102038 Sevilla sección 02038	Renta media por hogar	2017	24.181
