CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109105030;EL PLANTINAR;Sur;1294;74237.71753;-5.9698;37.37454
4109105014;BAMI;Sur;1907;192029.3555;-5.97898;37.3593
4109105048;TABLADILLA LA ESTRELLA;Sur;1453;222037.5713;-5.97932;37.36635
4109105031;POLIGONO SUR;Sur;763;61237.12231;-5.97271;37.35696
4109104065;LA PLATA;Cerro Amate;1153;54846.40967;-5.9518;37.36866
4109104047;EL CERRO;Cerro Amate;702;47349.32642;-5.9549;37.36964
4109105011;POLIGONO SUR;Sur;834;74541.31714;-5.97109;37.36095
4109104066;LA PLATA;Cerro Amate;2163;145202.7617;-5.94857;37.37034
4109104029;LOS PAJAROS;Cerro Amate;787;30236.11621;-5.95852;37.38536
4109104015;SANTA AURELIA CANTABRICO ATLANTICO LA ROMERIA;Cerro Amate;2087;102769.1306;-5.9495;37.38351
4109104046;ROCHELAMBERT;Cerro Amate;1541;91977.65454;-5.95489;37.37275
4109104032;EL CERRO;Cerro Amate;1380;120782.7407;-5.95917;37.37281
4109106002;TRIANA ESTE;Triana;1650;98163.49731;-6.00093;37.3799
4109105052;POLIGONO SUR;Sur;1649;155883.5862;-5.96657;37.35695
4109106020;TRIANA OESTE;Triana;1079;55581.98901;-6.00857;37.38677
4109106013;BARRIO LEON;Triana;1057;97277.7998;-6.01135;37.37965
4109105025;TABLADILLA LA ESTRELLA;Sur;1627;392079.6523;-5.98003;37.36343
4109105018;POLIGONO SUR;Sur;1106;80082.45117;-5.969;37.3609
4109105045;POLIGONO SUR;Sur;871;52527.59644;-5.96119;37.35995
4109105034;LAS LETANIAS;Sur;707;29615.47998;-5.96324;37.3618
4109104062;PALMETE;Cerro Amate;1663;136518.6729;-5.94114;37.3707
4109104050;ROCHELAMBERT;Cerro Amate;1565;58820.73169;-5.95413;37.37667
4109105007;TABLADILLA LA ESTRELLA;Sur;1084;63388.76758;-5.984;37.36728
4109104069;PALMETE;Cerro Amate;1254;88068.46289;-5.94513;37.37395
4109102025;PINO FLORES;Macarena;800;56401.80298;-5.97161;37.40897
4109102023;BEGOÑA SANTA CATALINA;Macarena;2094;73989.87109;-5.97672;37.40818
4109102045;LEON XIII LOS NARANJOS;Macarena;1516;58618.99463;-5.98347;37.40274
4109102043;LOS PRINCIPES LA FONTANILLA;Macarena;2218;108555.3542;-5.97691;37.41377
4109101042;ALFALFA;Casco Antiguo;816;122458.9563;-5.99343;37.39124
4109101040;ALFALFA;Casco Antiguo;1407;199798.4475;-5.99609;37.39067
4109102008;PIO XII;Macarena;1078;63225.14185;-5.97988;37.40451
4109102006;CRUZ ROJA CAPUCHINOS;Macarena;962;42732.30957;-5.9774;37.4015
4109101007;ENCARNACION REGINA;Casco Antiguo;1288;177363.0369;-5.99663;37.39416
4109101005;ENCARNACION REGINA;Casco Antiguo;876;74773.37134;-5.99167;37.39406
4109101024;SAN GIL;Casco Antiguo;1391;83925.09106;-5.99027;37.4019
4109101022;FERIA;Casco Antiguo;1453;88898.45435;-5.99162;37.3985
4109101030;SAN JULIAN;Casco Antiguo;652;58926.84033;-5.98255;37.39826
4109101017;FERIA;Casco Antiguo;1127;114022.1814;-5.99294;37.39763
4109101033;SAN JULIAN;Casco Antiguo;1173;75023.22363;-5.98672;37.3974
