CUSEC;Barrio;Distrito;Población_Total;H_total;M_Total;H_00_Entre_0_y_4_años;H_01_Entre_5_y_9_años;H_02_Entre_10_y_14_años;H_03_Entre_15_y_19_años;H_04_Entre_20_y_24_años;H_05_Entre_25_y_29_años;H_06_Entre_30_y_34_años;H_07_Entre_35_y_39_años;H_08_Entre_40_y_44_años;H_09_Entre_45_y_49_años;H_10_Entre_50_y_54_años;H_11_Entre_55_y_59_años;H_12_Entre_60_y_64_años;H_13_Entre_65_y_69_años;H_14_Entre_70_y_74_años;H_15_Entre_75_y_79_años;H_16_Entre_80_y_84_años;H_17_Entre_85_y_89_años;H_18_Entre_90_y_más_años;M_00_Entre_0_y_4_años;M_01_Entre_5_y_9_años;M_02_Entre_10_y_14_años;M_03_Entre_15_y_19_años;M_04_Entre_20_y_24_años;M_05_Entre_25_y_29_años;M_06_Entre_30_y_34_años;M_07_Entre_35_y_39_años;M_08_Entre_40_y_44_años;M_09_Entre_45_y_49_años;M_10_Entre_50_y_54_años;M_11_Entre_55_y_59_años;M_12_Entre_60_y_64_años;M_13_Entre_65_y_69_años;M_14_Entre_70_y_74_años;M_15_Entre_75_y_79_años;M_16_Entre_80_y_84_años;M_17_Entre_85_y_89_años;M_18_Entre_90_y_más_años;Shape__Area;Shape__Length
4109101038;MUSEO;Casco Antiguo;1400;647;753;28;41;28;26;32;35;44;42;57;55;40;52;33;28;48;30;17;7;4;29;35;31;18;28;58;37;51;40;70;59;46;38;55;46;38;33;21;20;113627.8494;1622.602076
4109102010;EL CARMEN;Macarena;956;449;507;11;12;9;21;24;38;40;30;38;30;36;40;31;22;21;11;20;13;2;10;8;4;15;15;41;27;30;34;35;50;42;34;34;30;26;34;27;11;68739.85376;1255.389762
4109102012;EL CEREZO;Macarena;1518;693;825;31;43;39;37;45;56;57;69;88;58;41;29;9;26;23;24;12;5;1;37;33;28;42;55;51;73;97;79;58;53;40;29;33;41;31;20;11;14;48981.22607;924.0228543
4109102019;CAMPOS DE SORIA;Macarena;992;445;547;12;16;18;19;26;32;28;25;24;27;36;56;32;28;23;16;18;7;2;14;18;24;16;30;35;28;21;32;29;59;55;43;44;37;22;21;9;10;71836.65674;1287.006607
4109102021;PIO XII;Macarena;848;373;475;10;10;17;16;20;24;19;30;24;29;46;24;24;15;13;6;16;19;11;22;15;18;12;9;28;28;22;26;30;38;42;31;21;23;19;37;41;13;63695.01782;1042.18734
4109102048;CRUZ ROJA CAPUCHINOS;Macarena;936;412;524;15;18;16;22;24;14;18;26;33;31;23;25;28;26;43;28;13;8;1;8;18;18;14;22;25;18;37;38;38;33;31;37;43;46;39;30;14;15;99484.46704;1453.994836
4109102050;SANTA JUSTA Y RUFINA PARQUE MIRAFLORES;Macarena;1220;569;651;21;39;24;12;23;34;39;53;47;47;32;25;17;37;46;36;24;9;4;21;29;25;19;24;31;37;46;61;39;40;34;41;55;59;43;27;16;4;46169.57593;982.4003726
4109102055;HERMANDADES LA CARRASCA;Macarena;940;427;513;17;13;24;20;25;26;22;27;30;39;29;22;23;16;25;43;13;10;3;23;13;22;23;19;22;30;34;40;45;35;30;25;24;51;30;32;13;2;27134.59155;1052.446679
4109101004;ENCARNACION REGINA;Casco Antiguo;945;345;600;18;16;20;13;9;9;18;23;32;35;34;31;26;12;17;13;12;6;1;11;19;22;31;15;28;44;37;47;43;43;37;37;36;39;35;31;27;18;86509.7876;1340.371852
4109101011;SAN LORENZO;Casco Antiguo;1067;497;570;23;26;31;19;19;16;31;42;57;52;37;30;32;29;26;14;7;5;1;26;22;33;21;16;31;41;44;46;49;38;34;35;40;32;22;23;10;7;89128.56323;1679.549542
